score_bucket,LM0_core_count,LM0_core_tpv,LM0_ppob_count,LM0_ppob_tpv,LM0_qris_count,LM0_qris_tpv,LM1_core_count,LM1_core_tpv,LM1_ppob_count,LM1_ppob_tpv,LM1_qris_count,LM1_qris_tpv,LM2_core_count,LM2_core_tpv,LM2_ppob_count,LM2_ppob_tpv,LM2_qris_count,LM2_qris_tpv,LM3_core_count,LM3_core_tpv,LM3_ppob_count,LM3_ppob_tpv,LM3_qris_count,LM3_qris_tpv,acq_Offline,acq_Organic,acq_Paid,acq_Referral,age_on_accounting_days,age_on_core_days,age_on_ncore_days,bizage_0to1,bizage_1to3,bizage_3to5,bizage_5+,core_before_shutdown_flag,count_trf,edc_count_0,edc_count_1,edc_count_2to3,edc_count_3to6,edc_count_6to10,edc_count_7to10,edc_count_>10,edc_type_BCA,edc_type_BNII,edc_type_BRI,edc_type_BSI,edc_type_Mandiri,edc_type_Others,est_daily_customer,is_core_q1,is_core_q2,is_core_q3,is_ppob_q1,is_ppob_q2,is_ppob_q3,is_qris_q1,is_qris_q2,is_qris_q3,kyc_ADVANCED,kyc_SUPREME,lm_Utang_cnt,lm_transaxi_cnt,lyl_Bronze,lyl_Diamond,lyl_Gold,lyl_Platinum,lyl_Silver,m0_Utang_cnt,m0_transaxi_cnt,m2_Utang_cnt,m2_transaxi_cnt,m3_Utang_cnt,m3_transaxi_cnt,ms_BALI NUSRA,ms_JAKARTA,ms_JAVA 1,ms_JAVA 2,ms_JAVA 3,ms_KALIMANTAN,ms_SULAWESI,ms_SUMATERA 1,ms_SUMATERA 2,ms_SUMATERA 3,ppob_before_shutdown_flag
"(0.85, 1.0]",0.5730658667243178,1.6238704919815063,0.589267966701932,0.7830017805099487,0.009011646087447393,0.021583067253232002,0.8434788211014995,2.0276877880096436,0.8765782426851081,1.1554031372070312,0.019033099239381672,0.03477729111909866,0.8861338638116654,2.090484380722046,0.842480070627267,1.1086522340774536,0.018160398731688395,0.03435105085372925,0.7492426003041925,1.8042869567871094,0.6512584167722585,0.8416150808334351,0.019128243364211723,0.03991027548909187,0.7881040892193308,0.20012391573729862,0.006815365551425031,0.004956629491945477,621.3120805369127,392.3748451053284,93.80545229244115,0.048327137546468404,0.04275092936802974,0.022304832713754646,0.013630731102850062,0.161090458488228,0.0622338205575943,0.03345724907063197,0.0768277571251549,0.01486988847583643,0.0012391573729863693,0.0,0.0,0.0,0.0018587360594795538,0.010532837670384139,0.08921933085501858,0.0006195786864931846,0.007434944237918215,0.027881040892193308,0.3816949725151062,0.8073110285006195,0.8073110285006195,0.8073110285006195,0.8073110285006195,0.8073110285006195,0.8073110285006195,0.8073110285006195,0.8073110285006195,0.8073110285006195,0.0006195786864931846,0.7558859975216853,0.008476070560082266,0.015907097374719233,0.8686493184634448,0.007434944237918215,0.05204460966542751,0.004956629491945477,0.06691449814126393,0.002202817881963701,0.0048623064048783195,0.018737706764605747,0.027353455894738393,0.027027670846782276,0.03931295903121925,0.0018587360594795538,0.1294919454770756,0.12763320941759604,0.0563816604708798,0.14684014869888476,0.061957868649318466,0.028500619578686492,0.3382899628252788,0.06257744733581165,0.03965303593556382,0.20198265179677818
"(0.44, 0.85]",0.4540656633209313,1.1944563388824463,0.4542860799823869,0.6094162464141846,0.006698728894651516,0.013844112865626812,0.6931815612877966,1.6152567863464355,0.6580425347941544,0.8609364032745361,0.011290255838986147,0.022262632846832275,0.6896160565010578,1.6037719249725342,0.5644402858899049,0.736086368560791,0.020376844317199144,0.039403628557920456,0.6373361723678326,1.5235447883605957,0.4580837431404932,0.5989015102386475,0.01959211736650723,0.0367385670542717,0.6176158812758986,0.3056760142623109,0.06234942661655585,0.014358677845234653,571.2689380019949,288.96048954418427,76.49025087533327,0.04693071215187434,0.07821785358645723,0.03902862098872507,0.03800070669107963,0.2562397610099258,0.06589023768901825,0.07339950531624426,0.0950499502104012,0.029391924448299123,0.0017667276990780893,0.00012848928720567924,0.0,0.00019273393080851883,0.0058783848896598245,0.020301307378497318,0.10863769233240178,0.006328097394879702,0.015450836786482926,0.07330313835084,0.6025795936584473,0.7626160418875076,0.7626160418875076,0.7626160418875076,0.7626160418875076,0.7626160418875076,0.7626160418875076,0.7626160418875076,0.7626160418875076,0.7626160418875076,0.07214673476598889,0.624843403681218,0.1361405165617529,0.09873835299341363,0.8630625421605473,0.009154861713404645,0.04532459606180335,0.016189650187915582,0.06626834987632906,0.04906018776941362,0.030711423317172876,0.17059827996735283,0.13850071984294765,0.19164337340586707,0.16326364903942356,0.010825222447078476,0.09765185827631621,0.13680896855224695,0.12787896309145225,0.13401432655552342,0.057466833702740035,0.1878192155729016,0.07712569464520895,0.06520831325688221,0.08750120458706755,0.22970672320195304
"(0.22, 0.44]",0.11015751533102329,0.2859759032726288,0.22929209893008365,0.3027309775352478,0.006991376151998844,0.011860031634569168,0.164015223411609,0.3850565254688263,0.3351988564997607,0.433937132358551,0.013181400515908577,0.02204149216413498,0.17355603378039994,0.40010717511177063,0.324449615876417,0.4184732139110565,0.03214929982389148,0.05324454605579376,0.19790161234141715,0.4595324695110321,0.29594312768615677,0.37753912806510925,0.036319835564058725,0.060004670172929764,0.2844758296015616,0.4464347227006545,0.24049833505568952,0.028591112642094386,610.599935951323,210.54038925249742,111.64479274313928,0.007865426570214721,0.023739809392582387,0.012343552646687335,0.014037202893558387,0.14838098518773682,0.019052447751164436,0.029997703525088987,0.022218394764037204,0.0036743598576185555,0.0004018831094270295,0.0,2.8705936387644965e-05,8.61178091629349e-05,0.0018371799288092777,0.003243770811803881,0.019979331725800895,0.002554828338500402,0.0028418877023768515,0.030428292570903664,0.17371957004070282,0.8047709266276266,0.8047709266276266,0.8047709266276266,0.8047709266276266,0.8047709266276266,0.8047709266276266,0.8047709266276266,0.8047709266276266,0.8047709266276266,0.3692157538178895,0.2482776438167413,0.5172039332923005,0.4596727530714968,0.9475542542197727,0.003358594557354461,0.014955792857963026,0.008468251234355264,0.0256631071305546,0.19625596441146856,0.16312585799669493,0.6381333317986017,0.5954508940677421,0.7098569898669477,0.6683894490563177,0.03312665059134229,0.1970662533011827,0.18988976920427145,0.13988402801699393,0.11157997473877598,0.06946836605810082,0.07876908944769778,0.04578596853829372,0.05563210471925594,0.06315306005281893,0.15274428751865887
"(0.13, 0.22]",0.022696588199972584,0.050874657928943634,0.12173275427154252,0.16173627972602844,0.0019347823475886752,0.003654052037745714,0.029416351816057115,0.06197773665189743,0.174707974401243,0.22743257880210876,0.0043666007788499515,0.00785880908370018,0.03145290419149711,0.06330643594264984,0.17020616549562392,0.2197790890932083,0.017436257624243105,0.02853010594844818,0.033709081474381605,0.06996425241231918,0.15479101824940084,0.19798746705055237,0.022362156886878454,0.03739769756793976,0.09244538834951456,0.6225728155339806,0.26677791262135925,0.01820388349514563,507.5582190548177,112.82770024271845,82.96553398058252,0.0012135922330097086,0.001941747572815534,0.0016383495145631068,0.001516990291262136,0.05649271844660194,0.0016405901405960321,0.003519417475728155,0.0020934466019417474,0.0004550970873786408,0.0,0.0,0.0,0.0,0.00012135922330097087,0.00015169902912621358,0.0017597087378640776,0.00012135922330097087,0.00042475728155339805,0.004035194174757281,0.018085189163684845,0.5148665048543689,0.5148665048543689,0.5148665048543689,0.5148665048543689,0.5148665048543689,0.5148665048543689,0.5148665048543689,0.5148665048543689,0.5148665048543689,0.375121359223301,0.07035800970873786,0.47685902306833267,0.4491108587710012,0.9818871359223301,0.0013349514563106796,0.00424757281553398,0.002245145631067961,0.01028519417475728,0.18015303310440217,0.1498901032722728,0.5986856636218875,0.6181715149282921,0.6664493753491373,0.6978807385208019,0.08753033980582524,0.056007281553398056,0.182251213592233,0.12281553398058252,0.11665655339805825,0.11465412621359224,0.0808252427184466,0.03795509708737864,0.10995145631067961,0.06510922330097087,0.09523665048543689
"(0.08, 0.13]",0.0044693246919440864,0.010294499807059765,0.06967076147236471,0.09253181517124176,0.0006179016680277546,0.0010042692301794887,0.005774739001213543,0.012555335648357868,0.09884194961604376,0.1260240375995636,0.0013186310523063398,0.002483392134308815,0.00642381551479446,0.013388635590672493,0.09267068057898746,0.11766122281551361,0.007599521080711326,0.012614751234650612,0.00675012242611724,0.014258180744946003,0.0840615993289862,0.10569902509450912,0.010863316435257344,0.017880570143461227,0.030351023699138998,0.7329167506551099,0.22921645981512945,0.007515765830621707,525.53201095975,36.73429896046304,30.059031877213695,0.00020157226365652087,0.0003455524519826072,0.00023036830132173812,0.00040314452731304173,0.016154577130186885,0.00030568873626179993,0.000863881129956518,0.00011518415066086906,0.00011518415066086906,0.0,0.0,0.0,0.0,2.8796037665217265e-05,5.759207533043453e-05,0.0001727762259913036,2.8796037665217265e-05,5.759207533043453e-05,0.0008062890546260835,0.0031164810061454773,0.3075128862268552,0.3075128862268552,0.3075128862268552,0.3075128862268552,0.3075128862268552,0.3075128862268552,0.3075128862268552,0.3075128862268552,0.3075128862268552,0.3053531834019639,0.019782877876004263,0.4359812806344963,0.5180049886923284,0.9894894462521957,0.00020157226365652087,0.002303683013217381,0.0005183286779739108,0.007486969792956489,0.15403365965552515,0.16327100549168042,0.5561130482957823,0.705244699439449,0.6288067203448774,0.8006557236936331,0.025023756731073803,0.04054482103262591,0.1746191724018775,0.11898522763267774,0.15788867451838626,0.06433034814409537,0.04529616724738676,0.02392950729979555,0.04739827799694762,0.07069427246810839,0.06090361966193452
"(0.05, 0.08]",0.000954825832810807,0.0020734956488013268,0.025140314235299683,0.032775066792964935,0.00026722332177608296,0.00036270273267291486,0.0013347618896094962,0.0025704801082611084,0.03850292782893127,0.04814935475587845,0.0005495754633282319,0.0010275477543473244,0.0013419515198038025,0.002559446729719639,0.03851679477363999,0.047837186604738235,0.00466231304963049,0.006231346167623997,0.0015312963518502247,0.0028794717509299517,0.03588101228553408,0.044843435287475586,0.006730719553974836,0.009774335660040379,0.016276195735058244,0.7993741947358733,0.18090505114248903,0.0034445583865793696,400.1430446194226,10.978201993110883,13.414241013909706,2.629433882885015e-05,7.888301648655044e-05,0.0001051773553154006,0.00013147169414425073,0.008124950698114695,0.0,0.00028923772711735165,2.629433882885015e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.629433882885015e-05,0.0,0.0,0.00028923772711735165,0.0008717890013940632,0.1872945754778996,0.1872945754778996,0.1872945754778996,0.1872945754778996,0.1872945754778996,0.1872945754778996,0.1872945754778996,0.1872945754778996,0.1872945754778996,0.2482711472220031,0.008598248797033999,0.47511409318358155,0.8129052430938339,0.9952144303331493,0.0,0.0009728905366674555,7.888301648655044e-05,0.003733796113696721,0.16077841542023974,0.2186956006767227,0.6143985603293094,1.0647221093057826,0.6899506142921101,1.1753630787368834,0.020167757881728064,0.06728721306302753,0.18981883200546923,0.07956666929610055,0.16760011569509084,0.01940522205569141,0.042228708159133335,0.01564513160316584,0.033945991428045545,0.12516105282532672,0.023848965317767083
"(0.03, 0.05]",0.0005486065067599257,0.0013519268250092864,0.01805675027862746,0.02292250655591488,2.443498362745251e-05,3.457641651039012e-05,0.0006540391818206242,0.0014473776100203395,0.025998127268315532,0.03222755342721939,0.0001392901511820576,0.00017220080189872533,0.0006708734501621739,0.0014845069963485003,0.026353859185023677,0.03248991444706917,0.0036263264312314985,0.005136042833328247,0.0007862689363967528,0.0017088759923353791,0.024249640359602805,0.030141238123178482,0.005254438297760641,0.0072674802504479885,0.007367716008037508,0.7800613388796841,0.21010328903303133,0.0024676560792470125,492.46435675792975,5.235484894419572,6.001410089188141,0.0,0.0,3.525222970352875e-05,3.525222970352875e-05,0.004159763105016393,0.0,7.05044594070575e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.05044594070575e-05,0.00020176914404146373,0.10773081397398386,0.10773081397398386,0.10773081397398386,0.10773081397398386,0.10773081397398386,0.10773081397398386,0.10773081397398386,0.10773081397398386,0.10773081397398386,0.16691930764620863,0.004406528712941093,0.7826888969216472,0.7937594771657166,0.9965100292593506,0.0,0.0006697923643670462,3.525222970352875e-05,0.002784926146578771,0.25537513126893985,0.29772120897357235,1.0121377548960468,1.0515007171993407,1.1384292166899141,1.226922327918941,0.021433355659745478,0.07395917791800331,0.13600310219621392,0.15348820812916417,0.2622765889942539,0.020728311065674902,0.052314308880036665,0.027214721331124195,0.031021962139105297,0.03994077625409807,0.011703740261571545
"(0.02, 0.03]",4.0001568591871264e-05,0.00012326524301897734,0.011316533444921126,0.014191510155797005,6.340098618814114e-05,1.5387318086368396e-08,0.00015628175214117094,0.00044408050598576665,0.016710769172045434,0.02022978663444519,0.00016680354096815353,0.0004629696486517787,0.0002143104839972477,0.0005388926947489381,0.016970860878758747,0.019982261583209038,0.005116525187323381,0.006218971684575081,0.0002128854717286436,0.0005262418417260051,0.016837605633437436,0.02004428766667843,0.005323113456656909,0.006700050551444292,0.003693444136657433,0.7257617728531855,0.26956371191135736,0.0009810710987996306,570.1344417460614,2.676131117266851,2.10485918744229,0.0,0.0,0.0,0.0,0.0024238227146814403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1273084025854109,0.1273084025854109,0.1273084025854109,0.1273084025854109,0.1273084025854109,0.1273084025854109,0.1273084025854109,0.1273084025854109,0.1273084025854109,0.217797783933518,0.0024238227146814403,0.9751783580874308,0.7427078312969073,0.9976915974145891,0.0,0.00028855032317636197,0.0,0.0020198522622345335,0.33452128686226407,0.2825327404266776,1.2405618189504295,0.9680668650957263,1.3919446226217704,1.1065773152943197,0.030297783933518004,0.10433979686057249,0.12171052631578948,0.202966297322253,0.21993305632502308,0.025680978762696215,0.05015004616805171,0.024065096952908586,0.02244921514312096,0.04911126500461681,0.004270544783010157
"(0.01, 0.02]",0.0,0.0,0.004890446077436974,0.006194644141942263,0.0,0.0,0.0,0.0,0.007235446246302636,0.008820080198347569,2.2910926838102244e-05,3.9127720810938627e-05,0.0,0.0,0.007190689800461033,0.008709173649549484,0.003524473719315463,0.004513552412390709,0.0,0.0,0.007317511142193411,0.008920799009501934,0.004077002545027556,0.005250112619251013,0.0011238183380709989,0.8976333707939446,0.1004495273352284,0.0007932835327559992,426.9568657563516,0.7097243339723673,0.9936206782574205,0.0,0.0,0.0,0.0,0.0007602300522244992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04022608580683546,0.04022608580683546,0.04022608580683546,0.04022608580683546,0.04022608580683546,0.04022608580683546,0.04022608580683546,0.04022608580683546,0.04022608580683546,0.08504660540754941,0.0007602300522244992,0.6760964681248263,0.40057912277399876,0.9990414490645865,0.0,0.0001983208831889998,0.0,0.0007602300522244992,0.22233332687245358,0.1458312938807352,0.8657011230061769,0.5379416403617654,0.9852927789618242,0.6236297519771222,0.01900575130561248,0.09089707146162491,0.0990282276723739,0.08160904343227342,0.07258544324717393,0.01940239307199048,0.038077609572287965,0.024624842995967476,0.014080782706418986,0.03913532094929596,0.0017848879487009982
"(-0.001, 0.01]",0.0,0.0,0.0037003388757072425,0.00453766668215394,0.0,0.0,0.0,0.0,0.004873703058205812,0.005728979595005512,0.0,0.0,0.0,0.0,0.005017452012239474,0.00583296874538064,0.001154915013272733,0.0015087086940184236,0.0,0.0,0.0047292535091443405,0.005531329661607742,0.0013414993803081742,0.0016904379008337855,0.0002634315424610052,0.8791681109185442,0.11977816291161178,0.0007902946273830156,540.7844748858447,0.2037157712305026,0.4318890814558059,0.0,0.0,0.0,0.0,2.7729636048526865e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02481802426343154,0.02481802426343154,0.02481802426343154,0.02481802426343154,0.02481802426343154,0.02481802426343154,0.02481802426343154,0.02481802426343154,0.02481802426343154,0.06154592720970537,2.7729636048526865e-05,0.9553037772004765,0.23240175790144071,0.9990571923743501,0.0,9.705372616984402e-05,0.0,0.0008457538994800693,0.31827459280299375,0.07417114223578569,1.2225253654173451,0.32638334180020784,1.3537576526707131,0.3910999510672172,0.02003466204506066,0.24698786828422878,0.21203466204506066,0.10967071057192375,0.10318197573656845,0.02279376083188908,0.03618717504332756,0.05336568457538995,0.015819757365684577,0.03907105719237435,0.0010537261698440208
