score_bucket,all_user_count,interested_user_count,pct,cml_count,cml_pct
"(0.85, 1.0]",1614,1614,0.005022201616190532,1614,0.005022201616190532
"(0.44, 0.85]",31131,20610,0.09686874753012854,32745,0.10189094914631908
"(0.22, 0.44]",34836,0,0.108397407373986,67581,0.2102883565203051
"(0.13, 0.22]",32960,0,0.10255995369866168,100541,0.31284831021896675
"(0.08, 0.13]",34727,0,0.1080582376241937,135268,0.42090654784316045
"(0.05, 0.08]",38031,0,0.11833912618670517,173299,0.5392456740298657
"(0.03, 0.05]",28367,0,0.08826814947117524,201666,0.6275138235010409
"(0.02, 0.03]",17328,0,0.0539186552697333,218994,0.6814324787707742
"(0.01, 0.02]",30254,0,0.09413983128638685,249248,0.775572310057161
"(-0.001, 0.01]",72125,0,0.22442768994283901,321373,1.0
